Title,Release Date,Score,Genre,Summary,Actors,Languages,Revenue,Country
Lets Fight Ghost,12-Dec-08,98.0,"Crime, Drama, Fantasy, Horror, Romance","A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead.","Kåre Hedebrant, Per Ragnar, Lina Leandersson, Henrik Dahl","Swedish, Spanish","$2,122,065",Thailand
HOW TO BUILD A GIRL,08-May-20,79.0,Comedy,"When nerdy Johanna moves to London, things get out of hand when she reinvents herself as a bad-mouthed music critic to save her poverty-stricken family.","Paddy Considine, Cleo, Beanie Feldstein, Dónal Finn",English,"$70,632",Canada
The Invisible,27-Apr-07,20.0,"Crime, Drama, Fantasy, Mystery, Thriller","Critically injured after a brutal beating, a teenager and aspiring poet finds himself suspended between life and death and invisible to others.","Marcia Gay Harden, Chris Marquette, Margarita Levieva, Justin Chatwin",English,"$20,578,909","Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland"
Joker,04-Oct-19,68.0,"Crime, Drama, Thriller","A practical jokers fake kidnapping at a bachelor party turns into a real abduction, forcing him to infiltrate a terrorist group and rescue the groom.","Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",English,"$335,451,311","Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic"
I,19-May-99,52.0,"Action, Adventure, Fantasy, Sci-Fi",A young man seeking his identity begins a romance that becomes a complicated marriage in this avant-garde drama from filmmaker Peter Kylberg.,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd","English, Sanskrit","$474,544,677","Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland"
Harrys Daughters,15-Jul-11,96.0,"Adventure, Drama, Fantasy, Mystery","As two sisters both experience pregnancy, tragedy rattles their bond by bringing secrets, jealousy and sorrow to the forefront of their relationship.","Ralph Fiennes, Alan Rickman, Michael Gambon, Daniel Radcliffe",English,"$381,409,310","Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland"
Comrades: Almost a Love Story,02-Nov-96,89.0,"Drama, Romance",Two young Chinese mainlanders transplanted to Hong Kong -- naive Xiao-Jun Li and street-smart Qiao Li -- become fast friends and then try not to fall in love despite their deepening feelings for each other.,"Maggie Cheung, Leon Lai, Eric Tsang, Kristy Yeung","Cantonese, Mandarin, English","$17,676",South Korea
The Closet,10-Aug-01,85.0,Comedy,A recent widowers move into a new house takes a chilling turn when his daughter vanishes — and only a mysterious exorcist seems to have answers.,"Gérard Depardieu, Michèle Laroque, Daniel Auteuil, Thierry Lhermitte",French,"$6,678,894",South Korea
The Mysterians,15-May-59,51.0,"Action, Family, Sci-Fi, Thriller",Mankind is faced with an impossible choice when an alien race requests the use of a small plot of land and permission to procreate with Earth’s women.,"Yumi Shirakawa, Akihiko Hirata, Kenji Sahara, Momoko Kôchi","Japanese, English","$975,000",Japan
Trial by Fire,17-May-19,61.0,"Biography, Drama",A woman who develops a close relationship with a death row inmate sets out to prove the man was wrongfully convicted of killing his children in a fire.,"Laura Dern, Jack O'Connell, Emily Meade, Chris Coy",English,"$148,504",United Kingdom
Framing John DeLorean,07-Jun-19,90.0,"Documentary, Biography, Drama","From his rise in the auto industry to his fall from grace, follow John DeLoreans incredible legacy of power, politics, fast cars and illicit drugs.","Morena Baccarin, Alec Baldwin, Dean Winters, Josh Charles",English,"$145,625",Poland
Alice,10-Jan-91,75.0,"Comedy, Romance","While investigating a string of murders, a detective is stunned to encounter time travelers — especially a professor whos a dead ringer for his mother.","June Squibb, Mia Farrow, William Hurt, Joe Mantegna","English, Cantonese","$7,331,647","Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Israel,United Kingdom,Australia,India,Russia,Iceland,Switzerland"
Ordinary People,19-Sep-80,89.0,Drama,"During a probe into a missing high school student, her best friend and a new gym teacher stumble upon the sinister truth behind her disappearance.","Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",English,"$54,766,923",South Korea
Paths of the Soul,20-Jun-17,94.0,Drama,"From harsh weather to unwavering devotion, this docudrama follows several villagers on a walking pilgrimage to Lhasa — the holy capital of Tibet.","Pei Yang, Tsring Chodron, Tsewang Dolkar, Jiangcuo Seba",Tibetan,"$31,747",South Korea
Rebel in the Rye,15-Sep-17,30.0,"Biography, Drama, Romance, War","A young J.D. Salinger struggles to write his classic novel, ""The Catcher in the Rye,"" under the tutelage of a demanding mentor.","Kevin Spacey, Nicholas Hoult, Victor Garber, Hope Davis",English,"$378,294",South Korea
Stand by Me,22-Aug-86,91.0,"Adventure, Drama","Learning of his imminent departure from life, a grandfather spends his final days preparing parting gifts for his young grandchildren.","Jerry O'Connell, Wil Wheaton, River Phoenix, Corey Feldman",English,"$52,287,414",South Korea
Wonderstruck,20-Oct-17,68.0,"Adventure, Drama, Mystery",Two children from different eras each embark on a journey of self-discovery that leads to New York City and a mysterious bond that connects them both.,"James Urbaniak, Julianne Moore, Millicent Simmonds, Cory Michael Smith","English, Spanish","$1,060,377",South Korea
Keys To The Heart,26-Jan-18,77.0,"Comedy, Drama, Family","With nothing in common but their mother, a former boxing champion and a musical savant discover brotherhood during a humorous cohabitation.","Sung-ryung Kim, Jung-min Park, Lee Byung-Hun, Han Ji-min",Korean,"$75,134",South Korea
Intimate Strangers,03-Sep-04,86.0,"Drama, Romance, Thriller","At a dinner party, longtime friends and their partners play a game of sharing every new call, text and email on their phones with the entire group.","Fabrice Luchini, Sandrine Bonnaire, Anne Brochet, Michel Duchaussoy",French,"$2,110,589",South Korea
Gonjiam: Haunted Asylum,28-Mar-18,91.0,Horror,"Eager to capture creepy footage for their web series, a group of explorers venture into an abandoned and infamous psychiatric hospital.","Wi Ha-Joon, Seung-Wook Lee, Ye-Won Mun, Yoo Je-Yoon",Korean,"$115,252",South Korea
Extreme Job,21-Jun-19,82.0,"Action, Comedy, Crime",A narcotics unit takes over a restaurant near a gangs hideout when the food they sold to keep their cover turns into the next big chicken franchise.,"Lee Hanee, Shin Ha-kyun, Joon-seok Heo, Myoung Gong","Korean, Mandarin","$1,565,885",South Korea
